ticker,exchange,assetType,priceCurrency,startDate,endDate
000001,SHE,Stock,CNY,2007-08-30,2019-06-11
000002,SHE,Stock,CNY,2000-01-04,2019-06-11
000003,SHE,Stock,CNY,,
000004,SHE,Stock,CNY,2007-08-31,2019-06-11
000005,SHE,Stock,CNY,2001-01-02,2019-06-11
000006,SHE,Stock,CNY,2018-01-02,2019-06-11
000007,SHE,Stock,CNY,2007-08-31,2019-06-11
000008,SHE,Stock,CNY,2000-01-03,2019-06-11
000009,SHE,Stock,CNY,2000-01-03,2019-06-11
000010,SHE,Stock,CNY,2007-08-31,2019-06-11
000011,SHE,Stock,CNY,2018-01-01,2019-06-11
000012,SHE,Stock,CNY,2000-01-03,2019-06-11
000013,SHE,Stock,CNY,,
000014,SHE,Stock,CNY,2018-01-02,2019-06-11
000015,SHE,Stock,CNY,,
000016,SHE,Stock,CNY,2018-01-02,2019-06-11
000017,SHE,Stock,CNY,2018-01-02,2019-06-11
000018,SHE,Stock,CNY,2018-01-02,2019-06-11
000019,SHE,Stock,CNY,2007-10-12,2019-06-11
000020,SHE,Stock,CNY,2007-08-31,2019-06-11
000021,SHE,Stock,CNY,2000-01-03,2019-06-11
000022,SHE,Stock,CNY,2007-08-31,2018-12-20
000023,SHE,Stock,CNY,2018-01-02,2019-06-11
000024,SHE,Stock,CNY,2007-01-04,2015-12-07
000025,SHE,Stock,CNY,2018-01-01,2019-06-11
000026,SHE,Stock,CNY,2018-01-02,2019-06-11
000027,SHE,Stock,CNY,2000-01-03,2019-06-11
000028,SHE,Stock,CNY,2018-01-02,2019-06-11
000029,SHE,Stock,CNY,2016-09-13,2018-04-24
000030,SHE,Stock,CNY,2000-01-03,2019-06-11
000031,SHE,Stock,CNY,2018-01-01,2019-06-11
000032,SHE,Stock,CNY,2018-01-01,2019-06-11
000033,SHE,Stock,CNY,2007-08-31,2017-07-06
000034,SHE,Stock,CNY,2017-09-28,2019-06-11
000035,SHE,Stock,CNY,2007-09-28,2019-06-11
000036,SHE,Stock,CNY,2000-01-03,2019-06-11
000037,SHE,Stock,CNY,2000-01-03,2019-06-11
000038,SHE,Stock,CNY,2013-02-08,2019-06-11
000039,SHE,Stock,CNY,2018-01-02,2019-06-11
000040,SHE,Stock,CNY,2018-01-02,2019-06-11
000042,SHE,Stock,CNY,2000-01-03,2019-06-11
000043,SHE,Stock,CNY,2000-01-03,2019-06-11
000045,SHE,Stock,CNY,2000-01-03,2019-06-11
000046,SHE,Stock,CNY,2018-01-02,2019-06-11
000047,SHE,Stock,CNY,,
000048,SHE,Stock,CNY,2000-01-04,2019-06-11
000049,SHE,Stock,CNY,2018-01-01,2019-06-11
000050,SHE,Stock,CNY,2000-01-03,2019-06-11
000055,SHE,Stock,CNY,2000-01-03,2019-06-11
000056,SHE,Stock,CNY,2017-10-31,2019-06-11
000058,SHE,Stock,CNY,2000-01-03,2019-06-11
000059,SHE,Stock,CNY,2000-01-03,2019-06-11
000060,SHE,Stock,CNY,2018-01-01,2019-06-11
000061,SHE,Stock,CNY,2000-01-11,2019-06-11
000062,SHE,Stock,CNY,2000-01-03,2019-05-27
000063,SHE,Stock,CNY,2018-01-02,2019-06-11
000065,SHE,Stock,CNY,2018-01-02,2019-06-11
000066,SHE,Stock,CNY,2000-01-03,2019-06-11
000068,SHE,Stock,CNY,2007-08-30,2019-06-11
000069,SHE,Stock,CNY,2018-01-01,2019-06-11
000070,SHE,Stock,CNY,2018-01-01,2019-06-11
000078,SHE,Stock,CNY,2000-01-03,2019-06-11
000088,SHE,Stock,CNY,2000-01-03,2019-06-11
000089,SHE,Stock,CNY,2000-01-03,2019-06-11
000090,SHE,Stock,CNY,2018-01-02,2019-06-11
000096,SHE,Stock,CNY,2018-01-02,2019-06-11
000099,SHE,Stock,CNY,2018-01-01,2019-06-11
000100,SHE,Stock,CNY,2004-02-02,2019-06-11
000150,SHE,Stock,CNY,2000-08-08,2019-06-11
000151,SHE,Stock,CNY,2018-01-02,2019-06-11
000153,SHE,Stock,CNY,2018-01-02,2019-06-11
000155,SHE,Stock,CNY,2018-01-02,2019-06-11
000156,SHE,Stock,CNY,2018-01-02,2019-06-11
000157,SHE,Stock,CNY,2018-01-02,2019-06-11
000158,SHE,Stock,CNY,2018-01-02,2019-06-11
000159,SHE,Stock,CNY,2000-09-25,2019-06-11
000166,SHE,Stock,CNY,2018-01-01,2019-06-11
000301,SHE,Stock,CNY,2018-01-02,2019-06-11
000333,SHE,Stock,CNY,2000-01-03,2019-06-11
000338,SHE,Stock,CNY,2018-01-02,2019-06-11
000400,SHE,Stock,CNY,2018-01-02,2019-06-11
000401,SHE,Stock,CNY,2018-01-01,2019-06-11
000402,SHE,Stock,CNY,2000-01-03,2019-06-11
000403,SHE,Stock,CNY,2013-02-08,2019-06-11
000404,SHE,Stock,CNY,2018-01-01,2019-06-11
000405,SHE,Stock,CNY,,
000406,SHE,Stock,CNY,,
000407,SHE,Stock,CNY,2000-01-04,2019-06-11
000408,SHE,Stock,CNY,2018-01-02,2019-06-11
000409,SHE,Stock,CNY,2018-01-02,2019-06-11
000410,SHE,Stock,CNY,2000-01-03,2019-06-11
000411,SHE,Stock,CNY,2018-01-01,2019-06-11
000412,SHE,Stock,CNY,,
000413,SHE,Stock,CNY,2000-01-03,2019-06-11
000415,SHE,Stock,CNY,2018-01-02,2019-06-11
000416,SHE,Stock,CNY,2000-01-03,2019-06-11
000417,SHE,Stock,CNY,2018-01-02,2019-06-11
000418,SHE,Stock,CNY,2000-01-03,2019-05-07
000419,SHE,Stock,CNY,2000-01-03,2019-06-11
000420,SHE,Stock,CNY,2000-01-03,2019-06-11
000421,SHE,Stock,CNY,2000-01-03,2019-06-11
000422,SHE,Stock,CNY,2018-01-02,2019-06-11
000423,SHE,Stock,CNY,2000-01-03,2019-06-11
000425,SHE,Stock,CNY,2000-01-03,2019-06-11
000426,SHE,Stock,CNY,2000-01-03,2019-06-11
000428,SHE,Stock,CNY,2000-01-03,2019-06-11
000429,SHE,Stock,CNY,2000-01-03,2019-06-11
000430,SHE,Stock,CNY,2018-01-02,2019-06-11
000488,SHE,Stock,CNY,2000-11-20,2019-06-11
000498,SHE,Stock,CNY,2018-01-02,2019-06-11
000501,SHE,Stock,CNY,2000-01-03,2019-06-11
000502,SHE,Stock,CNY,2007-08-30,2019-06-11
000503,SHE,Stock,CNY,2018-01-02,2019-06-11
000504,SHE,Stock,CNY,2007-08-30,2019-06-11
000505,SHE,Stock,CNY,2007-08-30,2019-06-11
000506,SHE,Stock,CNY,2018-01-02,2019-06-11
000507,SHE,Stock,CNY,2018-01-02,2019-06-11
000508,SHE,Stock,CNY,,
000509,SHE,Stock,CNY,2017-07-17,2019-06-11
000510,SHE,Stock,CNY,2000-01-04,2019-06-11
000511,SHE,Stock,CNY,2017-04-28,2018-07-17
000513,SHE,Stock,CNY,2000-01-03,2019-06-11
000514,SHE,Stock,CNY,2018-01-02,2019-06-11
000515,SHE,Stock,CNY,2007-01-04,2009-04-23
000516,SHE,Stock,CNY,2000-02-02,2019-06-11
000517,SHE,Stock,CNY,2000-01-03,2019-06-11
000518,SHE,Stock,CNY,2007-08-30,2019-06-11
000519,SHE,Stock,CNY,2018-01-02,2019-06-11
000520,SHE,Stock,CNY,2000-01-03,2019-06-11
000521,SHE,Stock,CNY,2018-01-02,2019-06-11
000522,SHE,Stock,CNY,2007-01-04,2013-03-13
000523,SHE,Stock,CNY,2018-01-02,2019-06-11
000524,SHE,Stock,CNY,2018-01-02,2019-06-11
000525,SHE,Stock,CNY,2018-01-02,2019-06-11
000526,SHE,Stock,CNY,2007-08-30,2019-06-11
000527,SHE,Stock,CNY,2007-01-04,2013-08-14
